id,branch,parent_ids,author,authored_at,committer,committed_at,commit_additions,commit_deletions,changed_files,is_bug_linked,is_fix_related,is_bug_fixing,is_refactoring,file_path,previous_file_path,file_additions,file_deletions,file_id
e058e5d6c4aa0cc02448beebd59dff06c30c736b,master,1d0a63446562a3edfc95a0ed6040b334c68f7dcd,montel,2015-08-25 20:26:28+00:00,montel,2015-08-25 20:26:28+00:00,2,2,2,False,False,False,False,src/loadfeedlistcommand.cpp,src/loadfeedlistcommand.cpp,1,1,adcc6e24-cdd1-11ea-a252-482ae32cf5b4
e058e5d6c4aa0cc02448beebd59dff06c30c736b,master,1d0a63446562a3edfc95a0ed6040b334c68f7dcd,montel,2015-08-25 20:26:28+00:00,montel,2015-08-25 20:26:28+00:00,2,2,2,False,False,False,False,src/tabwidget.cpp,src/tabwidget.cpp,1,1,adcae7c8-cdd1-11ea-90cf-482ae32cf5b4
4a5ca3f9ff9ba2965ada8ce03576592611609da3,master,e058e5d6c4aa0cc02448beebd59dff06c30c736b,montel,2015-08-26 21:14:03+00:00,montel,2015-08-26 21:15:02+00:00,1,1,1,False,False,False,False,src/actionmanager.cpp,src/actionmanager.cpp,1,1,adcb5cb4-cdd1-11ea-be2a-482ae32cf5b4
64f37b4fb5da76ea464bc0d63d10e141be9387bb,master,4a5ca3f9ff9ba2965ada8ce03576592611609da3,montel,2015-08-27 05:37:52+00:00,montel,2015-08-27 05:37:52+00:00,1,0,1,False,False,False,False,src/main.cpp,src/main.cpp,1,0,adcae7c7-cdd1-11ea-9fbc-482ae32cf5b4
a67340021206265a4e880a0b51316b9d6c15d984,master,64f37b4fb5da76ea464bc0d63d10e141be9387bb,montel,2015-08-27 05:45:52+00:00,montel,2015-08-27 05:45:52+00:00,1,1,1,True,True,False,False,src/addfeeddialog.cpp,src/addfeeddialog.cpp,1,1,adcae7cb-cdd1-11ea-a3b2-482ae32cf5b4
378c74f79d1de0557265fb42595adfc9446e35c9,master,a67340021206265a4e880a0b51316b9d6c15d984,vkrause,2015-08-29 18:21:36+00:00,vkrause,2015-08-29 18:21:36+00:00,6,11,1,False,False,False,False,src/akregator_part.cpp,src/akregator_part.cpp,6,11,adcb0f04-cdd1-11ea-8fa5-482ae32cf5b4
3aedd624dd205ef95f84e77ad1cf9ad9999e96c3,master,417437e7fd9adb67c41037478a519b0bf2b3be34,montel,2015-09-05 19:26:30+00:00,montel,2015-09-05 19:27:31+00:00,1,5,1,True,True,False,False,src/feed.cpp,src/feed.cpp,1,5,adcc200d-cdd1-11ea-82de-482ae32cf5b4
c0ace2fe8aabe8e07f5223901cbde953e319bdc3,master,3aedd624dd205ef95f84e77ad1cf9ad9999e96c3,montel,2015-09-11 19:38:03+00:00,montel,2015-09-11 19:38:03+00:00,10,10,6,False,False,False,False,src/akregator_part.cpp,src/akregator_part.cpp,1,1,adcb0f04-cdd1-11ea-8fa5-482ae32cf5b4
c0ace2fe8aabe8e07f5223901cbde953e319bdc3,master,3aedd624dd205ef95f84e77ad1cf9ad9999e96c3,montel,2015-09-11 19:38:03+00:00,montel,2015-09-11 19:38:03+00:00,10,10,6,False,False,False,False,src/frame.cpp,src/frame.cpp,1,1,adcbaacc-cdd1-11ea-a69a-482ae32cf5b4
c0ace2fe8aabe8e07f5223901cbde953e319bdc3,master,3aedd624dd205ef95f84e77ad1cf9ad9999e96c3,montel,2015-09-11 19:38:03+00:00,montel,2015-09-11 19:38:03+00:00,10,10,6,False,False,False,False,src/mainwindow.cpp,src/mainwindow.cpp,3,3,adcb0f10-cdd1-11ea-a48d-482ae32cf5b4
c0ace2fe8aabe8e07f5223901cbde953e319bdc3,master,3aedd624dd205ef95f84e77ad1cf9ad9999e96c3,montel,2015-09-11 19:38:03+00:00,montel,2015-09-11 19:38:03+00:00,10,10,6,False,False,False,False,src/progressmanager.cpp,src/progressmanager.cpp,1,1,adcb35bd-cdd1-11ea-89db-482ae32cf5b4
7647eb86c6cbb7e03f6255dc40e684ff3c603ae7,master,897b9d354b850bbe1eb3af1fda0645d582a8f5e9,None,2015-09-15 19:43:59+00:00,None,2015-09-15 19:45:05+00:00,137,130,16,False,False,True,False,plugins/mk4storage/storagemk4impl.cpp,plugins/mk4storage/storagemk4impl.cpp,1,1,adcc9540-cdd1-11ea-a93b-482ae32cf5b4
